,Diesase_Name,overview,symptoms_elements,symptoms_paragraph
91,Angina,Angina (an-JIE-nuh or AN-juh-nuh) is a type of chest pain caused by reduced blood flow to the heart. Angina is a symptom of coronary artery disease.,BurningFullnessPressureSqueezing,"A heart attack occurs when an artery supplying the heart with blood and oxygen becomes blocked. Fatty deposits build up over time, forming plaques in the heart's arteries. If a plaque ruptures, a blood clot can form and block the arteries, causing a heart attack. During a heart attack, tissue in the heart muscle dies due to lack of blood flow through the heart's arteries."
92,Angina,Angina (an-JIE-nuh or AN-juh-nuh) is a type of chest pain caused by reduced blood flow to the heart. Angina is a symptom of coronary artery disease.,BurningFullnessPressureSqueezing,"A heart attack occurs when an artery supplying the heart with blood and oxygen becomes blocked. Fatty deposits build up over time, forming plaques in the heart's arteries. If a plaque ruptures, a blood clot can form and block the arteries, causing a heart attack. During a heart attack, tissue in the heart muscle dies due to lack of blood flow through the heart's arteries."
93,Hives and angioedema,"Illustration of hives on different skin colors. Hives can cause swollen, itchy welts. Hives is also called urticaria.","Skin-colored, reddish on white skin, or purplish on black and brown skinItchy, ranging from mild to intenseRound, oval or worm-shapedAs small as a pea or as large as a dinner plate",The welts associated with hives can be:
94,Castleman disease,"Castleman disease is a rare disorder that involves an overgrowth of cells in your body's lymph nodes. The most common form of the disorder affects a single lymph node, usually in the chest or abdomen. This form is called unicentric Castleman disease.",Fever.Unintended weight loss.Fatigue.Night sweats.Enlarged liver or spleen.,Many people with unicentric Castleman disease don't notice any signs or symptoms. The enlarged lymph node may be found during a physical exam or an imaging test for some unrelated problem.
95,Sprained ankle,"A sprained ankle is an injury that occurs when you roll, twist or turn your ankle in an awkward way. This can stretch or tear the tough bands of tissue (ligaments) that help hold your ankle bones together.","Pain, especially when you bear weight on the affected footTenderness when you touch the ankleSwellingBruisingRestricted range of motionInstability in the anklePopping sensation or sound at the time of injury",Signs and symptoms of a sprained ankle vary depending on the severity of the injury. They may include:
96,Tongue-tie (ankyloglossia),"Tongue-tie (ankyloglossia) is a condition in which an unusually short, thick or tight band of tissue (lingual frenulum) tethers the bottom of the tongue's tip to the floor of the mouth. If necessary, tongue-tie can be treated with a surgical cut to release the frenulum (frenotomy). If additional repair is needed or the lingual frenulum is too thick for a frenotomy, a more extensive procedure known as a frenuloplasty might be an option.",Difficulty lifting the tongue to the upper teeth or moving the tongue from side to sideTrouble sticking out the tongue past the lower front teethA tongue that appears notched or heart shaped when stuck out,Signs and symptoms of tongue-tie include:
97,Anorexia nervosa,"Anorexia (an-o-REK-see-uh) nervosa — often simply called anorexia — is an eating disorder characterized by an abnormally low body weight, an intense fear of gaining weight and a distorted perception of weight. People with anorexia place a high value on controlling their weight and shape, using extreme efforts that tend to significantly interfere with their lives.","Extreme weight loss or not making expected developmental weight gainsThin appearanceAbnormal blood countsFatigueInsomniaDizziness or faintingBluish discoloration of the fingersHair that thins, breaks or falls outSoft, downy hair covering the bodyAbsence of menstruationConstipation and abdominal painDry or yellowish skinIntolerance of coldIrregular heart rhythmsLow blood pressureDehydrationSwelling of arms or legsEroded teeth and calluses on the knuckles from induced vomiting",The physical signs and symptoms of anorexia nervosa are related to starvation. Anorexia also includes emotional and behavioral issues involving an unrealistic perception of body weight and an extremely strong fear of gaining weight or becoming fat.
98,Anorexia nervosa,"Anorexia (an-o-REK-see-uh) nervosa — often simply called anorexia — is an eating disorder characterized by an abnormally low body weight, an intense fear of gaining weight and a distorted perception of weight. People with anorexia place a high value on controlling their weight and shape, using extreme efforts that tend to significantly interfere with their lives.","Extreme weight loss or not making expected developmental weight gainsThin appearanceAbnormal blood countsFatigueInsomniaDizziness or faintingBluish discoloration of the fingersHair that thins, breaks or falls outSoft, downy hair covering the bodyAbsence of menstruationConstipation and abdominal painDry or yellowish skinIntolerance of coldIrregular heart rhythmsLow blood pressureDehydrationSwelling of arms or legsEroded teeth and calluses on the knuckles from induced vomiting",The physical signs and symptoms of anorexia nervosa are related to starvation. Anorexia also includes emotional and behavioral issues involving an unrealistic perception of body weight and an extremely strong fear of gaining weight or becoming fat.
99,Anorgasmia in women,"Anorgasmia is delayed, infrequent or absent orgasms — or significantly less-intense orgasms — after sexual arousal and adequate sexual stimulation. Women who have problems with orgasms and who feel significant distress about those problems may be diagnosed with anorgasmia.",Delayed orgasmAbsence of orgasmFewer orgasmsLess-intense orgasms,An orgasm is a peak feeling of intense pleasure in response to stimulating sexual activity.
100,ACL injury,"The anterior cruciate ligament (ACL) is one of the key ligaments that help stabilize the knee joint. The ACL connects the thighbone (femur) to the shinbone (tibia). It's most commonly torn during sports that involve sudden stops and changes in direction — such as basketball, soccer, tennis and volleyball.","A loud pop or a ""popping"" sensation in the kneeSevere pain and inability to continue activityRapid swellingLoss of range of motionA feeling of instability or ""giving way"" with weight bearing",Signs and symptoms of an ACL injury usually include:
101,Anterior vaginal prolapse (cystocele),A dropped or prolapsed bladder (cystocele) occurs when the bladder bulges into the vaginal space. It results when the muscles and tissues that support the bladder give way.,"A feeling of fullness or pressure in your pelvis and vaginaIn some cases, a bulge of tissue in your vagina that you can see or feelIncreased pelvic pressure when you strain, cough, bear down or liftProblems urinating, including difficulty starting a urine stream, the feeling that you haven't completely emptied your bladder after urinating, feeling a frequent need to urinate or leaking urine (urinary incontinence)","In mild cases of anterior prolapse, you may not notice any signs or symptoms. When signs and symptoms occur, they may include:"
102,Anterior vaginal prolapse (cystocele),A dropped or prolapsed bladder (cystocele) occurs when the bladder bulges into the vaginal space. It results when the muscles and tissues that support the bladder give way.,"A feeling of fullness or pressure in your pelvis and vaginaIn some cases, a bulge of tissue in your vagina that you can see or feelIncreased pelvic pressure when you strain, cough, bear down or liftProblems urinating, including difficulty starting a urine stream, the feeling that you haven't completely emptied your bladder after urinating, feeling a frequent need to urinate or leaking urine (urinary incontinence)","In mild cases of anterior prolapse, you may not notice any signs or symptoms. When signs and symptoms occur, they may include:"
103,Antisocial personality disorder,"Antisocial personality disorder, sometimes called sociopathy, is a mental health condition in which a person consistently shows no regard for right and wrong and ignores the rights and feelings of others. People with antisocial personality disorder tend to purposely make others angry or upset and manipulate or treat others harshly or with cruel indifference. They lack remorse or do not regret their behavior.","Ignoring right and wrong.Telling lies to take advantage of others.Not being sensitive to or respectful of others.Using charm or wit to manipulate others for personal gain or pleasure.Having a sense of superiority and being extremely opinionated.Having problems with the law, including criminal behavior.Being hostile, aggressive, violent or threatening to others.Feeling no guilt about harming others.Doing dangerous things with no regard for the safety of self or others.Being irresponsible and failing to fulfill work or financial responsibilities.",Symptoms of antisocial personality disorder include repeatedly:
104,Generalized anxiety disorder,"It's normal to feel anxious from time to time, especially if your life is stressful. However, excessive, ongoing anxiety and worry that are difficult to control and interfere with day-to-day activities may be a sign of generalized anxiety disorder.","Persistent worrying or anxiety about a number of areas that are out of proportion to the impact of the eventsOverthinking plans and solutions to all possible worst-case outcomesPerceiving situations and events as threatening, even when they aren'tDifficulty handling uncertaintyIndecisiveness and fear of making the wrong decisionInability to set aside or let go of a worryInability to relax, feeling restless, and feeling keyed up or on edgeDifficulty concentrating, or the feeling that your mind ""goes blank""",Generalized anxiety disorder symptoms can vary. They may include:
105,Social anxiety disorder (social phobia),"It's normal to feel nervous in some social situations. For example, going on a date or giving a presentation may cause that feeling of butterflies in your stomach. But in social anxiety disorder, also called social phobia, everyday interactions cause significant anxiety, self-consciousness and embarrassment because you fear being scrutinized or judged negatively by others.","Fear of situations in which you may be judged negativelyWorry about embarrassing or humiliating yourselfIntense fear of interacting or talking with strangersFear that others will notice that you look anxiousFear of physical symptoms that may cause you embarrassment, such as blushing, sweating, trembling or having a shaky voiceAvoidance of doing things or speaking to people out of fear of embarrassmentAvoidance of situations where you might be the center of attentionAnxiety in anticipation of a feared activity or eventIntense fear or anxiety during social situationsAnalysis of your performance and identification of flaws in your interactions after a social situationExpectation of the worst possible consequences from a negative experience during a social situation","Feelings of shyness or discomfort in certain situations aren't necessarily signs of social anxiety disorder, particularly in children. Comfort levels in social situations vary, depending on personality traits and life experiences. Some people are naturally reserved and others are more outgoing."
106,Anxiety disorders,"Experiencing occasional anxiety is a normal part of life. However, people with anxiety disorders frequently have intense, excessive and persistent worry and fear about everyday situations. Often, anxiety disorders involve repeated episodes of sudden feelings of intense anxiety and fear or terror that reach a peak within minutes (panic attacks).","Feeling nervous, restless or tenseHaving a sense of impending danger, panic or doomHaving an increased heart rateBreathing rapidly (hyperventilation)SweatingTremblingFeeling weak or tiredTrouble concentrating or thinking about anything other than the present worryHaving trouble sleepingExperiencing gastrointestinal (GI) problemsHaving difficulty controlling worryHaving the urge to avoid things that trigger anxiety",Common anxiety signs and symptoms include:
107,Aortic aneurysm,"An aortic aneurysm occurs when a weak spot in the wall of the aorta begins to bulge, as shown in the image on the left. An aneurysm can occur anywhere in the aorta. Having an aortic aneurysm increases the risk of a tear in the aortic lining, called a dissection. It is shown in the image on the right.",,
108,Abdominal aortic aneurysm,"An abdominal aortic aneurysm occurs when a lower part of the body's main artery, called the aorta, becomes weakened and bulges.","Deep, constant pain in the belly area or side of the belly.Back pain.A pulse near the bellybutton.","Abdominal aortic aneurysms often grow slowly without noticeable symptoms. This makes them difficult to detect. Some aneurysms never rupture. Many start small and stay small. Others grow larger over time, sometimes quickly."
109,Aortic valve disease,"Aortic valve stenosis causes a thickening and narrowing of the valve between the heart's main pumping chamber (left ventricle) and the body's main artery (aorta). The narrowing creates a smaller opening for blood to pass through. Blood flow from the heart to the rest of the body is reduced or blocked. Typically, the aortic valve has three cusps (tricuspid aortic valve), but some people are born with an aortic valve that has two cusps (bicuspid aortic valve).","Whooshing or swishing heart sound (heart murmur)Chest pain or tightnessDizzinessFaintingFatigue after activity or having less ability to be activeIrregular heartbeatShortness of breath, particularly during vigorous activity or when lying downNot eating enough (mainly in children with aortic valve stenosis)Not gaining enough weight (mainly in children with aortic valve stenosis)",Some people with aortic valve disease may not notice symptoms for many years. Signs and symptoms of aortic valve disease may include:
110,Aortic valve regurgitation,"In aortic valve regurgitation, the aortic valve doesn't close properly, causing blood to flow backward from the body's main artery (aorta) into the lower left heart chamber (left ventricle).","Shortness of breath with exercise or when you lie downFatigue and weakness, especially when you increase your activity levelHeart murmurIrregular pulse (arrhythmia)Lightheadedness or faintingChest pain (angina), discomfort or tightness, often increasing during exerciseSensations of a rapid, fluttering heartbeat (palpitations)Swollen ankles and feet","Most often, aortic valve regurgitation develops gradually. You may have no signs or symptoms for years. You may be unaware that you have the condition. However, sometimes aortic valve regurgitation occurs suddenly, usually as a result of an infection of the valve."
111,Aortic valve stenosis,Aortic valve stenosis — or aortic stenosis — is a type of heart valve disease (valvular heart disease). The valve between the lower left heart chamber and the body's main artery (aorta) is narrowed and doesn't open fully. This reduces or blocks blood flow from the heart to the aorta and to the rest of the body.,"An irregular heart sound (heart murmur) heard through a stethoscopeChest pain (angina) or tightness with activityFeeling faint or dizzy or fainting with activityShortness of breath, especially with activityFatigue, especially during times of increased activityRapid, fluttering heartbeat (palpitations)Not eating enough (mainly in children with aortic valve stenosis)Not gaining enough weight (mainly in children with aortic valve stenosis)",Aortic valve stenosis ranges from mild to severe. Symptoms generally occur when narrowing of the valve is severe. Some people with aortic valve stenosis may not have symptoms for many years.
112,Primary progressive aphasia,Different areas of the brain are responsible for different vital functions.,"Trouble understanding spoken or written language, particularly single words.Trouble understanding the meaning of words.Not being able to name objects.Trouble formulating sentences.",Primary progressive aphasia symptoms vary based on which part of the brain's language areas are involved. The condition has three types. Each type causes different symptoms. Symptoms develop over time and gradually get worse.
113,Canker sore,"Canker sores occur singly or in clusters on the inside surfaces of your cheeks or lips, on or under your tongue, at the base of your gums, or on your soft palate. They usually have a white or yellow center and a red border and can be extremely painful.",Are usually smallAre oval shaped with a red edgeHeal without scarring in one to two weeks,"Most canker sores are round or oval with a white or yellow center and a red border. They form inside your mouth — on or under your tongue, inside your cheeks or lips, at the base of your gums, or on your soft palate. You might notice a tingling or burning sensation a day or two before the sores actually appear."
114,Canker sore,"Canker sores occur singly or in clusters on the inside surfaces of your cheeks or lips, on or under your tongue, at the base of your gums, or on your soft palate. They usually have a white or yellow center and a red border and can be extremely painful.",Are usually smallAre oval shaped with a red edgeHeal without scarring in one to two weeks,"Most canker sores are round or oval with a white or yellow center and a red border. They form inside your mouth — on or under your tongue, inside your cheeks or lips, at the base of your gums, or on your soft palate. You might notice a tingling or burning sensation a day or two before the sores actually appear."
115,Broken heart syndrome,Broken heart syndrome is a heart condition that's often brought on by stressful situations and extreme emotions. The condition also can be triggered by a serious physical illness or surgery. Broken heart syndrome is often a temporary condition. But some people may continue to feel unwell after the heart is healed.,Chest pain.Shortness of breath.,Symptoms of broken heart syndrome can mimic a heart attack. Symptoms may include:
116,Appendicitis,"The appendix is a narrow, finger-shaped pouch that projects out from the colon. Appendicitis occurs when the appendix becomes inflamed and filled with pus.","Sudden pain that begins on the right side of the lower abdomenSudden pain that begins around your navel and often shifts to your lower right abdomenPain that worsens if you cough, walk or make other jarring movementsNausea and vomitingLoss of appetiteLow-grade fever that may worsen as the illness progressesConstipation or diarrheaAbdominal bloatingFlatulence",Signs and symptoms of appendicitis may include:
117,ARDS,"Acute respiratory distress syndrome (ARDS) occurs when fluid builds up in the tiny, elastic air sacs (alveoli) in your lungs. The fluid keeps your lungs from filling with enough air, which means less oxygen reaches your bloodstream. This deprives your organs of the oxygen they need to function.",Severe shortness of breathLabored and unusually rapid breathingLow blood pressureConfusion and extreme tiredness,"The signs and symptoms of ARDS can vary in intensity, depending on its cause and severity, as well as the presence of underlying heart or lung disease. They include:"
118,Viral hemorrhagic fevers,"Viral hemorrhagic (hem-uh-RAJ-ik) fevers are infectious diseases that can cause severe, life-threatening illness. They can damage the walls of tiny blood vessels, making them leak, and can hamper the blood's ability to clot. The resulting internal bleeding is usually not life-threatening, but the diseases can be.","FeverFatigue, weakness or general feeling of being unwellDizzinessMuscle, bone or joint achesNausea and vomitingDiarrhea","Signs and symptoms of viral hemorrhagic fevers vary by disease. In general, early signs and symptoms can include:"
119,Viral hemorrhagic fevers,"Viral hemorrhagic (hem-uh-RAJ-ik) fevers are infectious diseases that can cause severe, life-threatening illness. They can damage the walls of tiny blood vessels, making them leak, and can hamper the blood's ability to clot. The resulting internal bleeding is usually not life-threatening, but the diseases can be.","FeverFatigue, weakness or general feeling of being unwellDizzinessMuscle, bone or joint achesNausea and vomitingDiarrhea","Signs and symptoms of viral hemorrhagic fevers vary by disease. In general, early signs and symptoms can include:"
120,Broken arm,"Your arm is made up of three bones: the upper arm bone (humerus) and two forearm bones (the ulna and the radius). The term ""broken arm"" may refer to a fracture in any of these bones.","Severe pain, which might increase with movementSwellingBruisingDeformity, such as a bent arm or wristInability to turn your arm from palm up to palm down or vice versa",A snap or cracking sound might be your first indication you've broken an arm. Signs and symptoms include:
121,Chiari malformation,"In Chiari malformation surgery, doctors remove a small section of bone at the back of your skull to make room for part of your brain (cerebellum) and relieve pressure on your brainstem, cerebellum and spinal cord.",Type 1Type 2,"Many people with Chiari malformation have no signs or symptoms and don't need treatment. Their condition is detected only when tests are performed for unrelated disorders. However, depending on the type and severity, Chiari malformation can cause a number of problems."
122,Heart arrhythmia,"In a typical heart rhythm, a tiny cluster of cells at the sinus node sends out an electrical signal. The signal then travels through the atria to the atrioventricular (AV) node and into the ventricles, causing them to contract and pump blood.",A fluttering in the chestA racing heartbeat (tachycardia)A slow heartbeat (bradycardia)Chest painShortness of breath,Heart arrhythmias may not cause any signs or symptoms. A doctor may notice the irregular heartbeat when examining you for another health reason.
123,Arteriosclerosis / atherosclerosis,"Arteriosclerosis and atherosclerosis are sometimes used to mean the same thing, but there's a difference between the two terms.","If you have atherosclerosis in your heart arteries,you may have chest pain or pressure (angina).If you have atherosclerosis in the arteries leading to your brain,you may have sudden numbness or weakness in your arms or legs, difficulty speaking or slurred speech, temporary loss of vision in one eye, or drooping muscles in your face. These signal a transient ischemic attack (TIA). Untreated, aTIAcan lead to a stroke.If you have atherosclerosis in the arteries in your arms and legs,you may have symptoms of peripheral artery disease, such as leg pain when walking (claudication) or decreased blood pressure in an affected limb.If you have atherosclerosis in the arteries leading to your kidneys,you may develop high blood pressure or kidney failure.",Mild atherosclerosis usually doesn't have any symptoms.
124,Arteriovenous malformation,"In an arteriovenous malformation (AVM), blood passes quickly from an artery to a vein, disrupting the usual blood flow and depriving the surrounding tissues of oxygen.",Progressive loss of neurological functionHeadachesNausea and vomitingSeizuresLoss of consciousness,"Symptoms of an AVM vary based on where it's found. Often the first symptoms appear after bleeding occurs. Besides bleeding, symptoms can include:"
125,Giant cell arteritis,"Giant cell arteritis is an inflammation of the lining of your arteries. Most often, it affects the arteries in your head, especially those in your temples. For this reason, giant cell arteritis is sometimes called temporal arteritis.","Persistent, severe head pain, usually in your temple areaScalp tendernessJaw pain when you chew or open your mouth wideFeverFatigueUnintended weight lossVision loss or double vision, particularly in people who also have jaw painSudden, permanent loss of vision in one eye","Giant cell arteritis causes inflammation of certain arteries, especially those near the temples."
126,Arthritis,"Osteoarthritis, the most common form of arthritis, involves the wearing away of the cartilage that caps the bones in your joints. Rheumatoid arthritis is a disease in which the immune system attacks the joints, beginning with the lining of joints.",PainStiffnessSwellingRednessDecreased range of motion,"The most common signs and symptoms of arthritis involve the joints. Depending on the type of arthritis, signs and symptoms may include:"
127,Thumb arthritis,Thumb arthritis occurs when the cartilage in the carpometacarpal (CMC) joint wears away.,"Swelling, stiffness and tenderness at the base of your thumbDecreased strength when pinching or grasping objectsDecreased range of motionEnlarged or bony appearance of the joint at the base of your thumb","Pain is the first and most common symptom of thumb arthritis. Pain can occur at the base of your thumb when you grip, grasp or pinch an object, or use your thumb to apply force."
128,Gout,"Gout is a common and complex form of arthritis that can affect anyone. It's characterized by sudden, severe attacks of pain, swelling, redness and tenderness in one or more joints, most often in the big toe.","Intense joint pain.Gout usually affects the big toe, but it can occur in any joint. Other commonly affected joints include the ankles, knees, elbows, wrists and fingers. The pain is likely to be most severe within the first four to 12 hours after it begins.Lingering discomfort.After the most severe pain subsides, some joint discomfort may last from a few days to a few weeks. Later attacks are likely to last longer and affect more joints.Inflammation and redness.The affected joint or joints become swollen, tender, warm and red.Limited range of motion.As gout progresses, you may not be able to move your joints normally.",Gout causes intense pain and swelling around one or more joints. Gout most commonly affects the joint at the base of the big toe.
129,Juvenile idiopathic arthritis,"Juvenile idiopathic arthritis, formerly known as juvenile rheumatoid arthritis, is the most common type of arthritis in children under the age of 16.","Pain.While your child might not complain of joint pain, you may notice that he or she limps — especially first thing in the morning or after a nap.Swelling.Joint swelling is common but is often first noticed in larger joints such as the knee.Stiffness.You might notice that your child appears clumsier than usual, particularly in the morning or after naps.Fever, swollen lymph nodes and rash.In some cases, high fever, swollen lymph nodes or a rash on the trunk may occur — which is usually worse in the evenings.",The most common signs and symptoms of juvenile idiopathic arthritis are:
130,Rheumatoid arthritis,"Rheumatoid arthritis can cause pain, swelling and deformity. As the tissue that lines your joints (synovial membrane) becomes inflamed and thickened, fluid builds up and joints erode and degrade.","Tender, warm, swollen jointsJoint stiffness that is usually worse in the mornings and after inactivityFatigue, fever and loss of appetite",Signs and symptoms of rheumatoid arthritis may include:
131,Thumb arthritis,Thumb arthritis occurs when the cartilage in the carpometacarpal (CMC) joint wears away.,"Swelling, stiffness and tenderness at the base of your thumbDecreased strength when pinching or grasping objectsDecreased range of motionEnlarged or bony appearance of the joint at the base of your thumb","Pain is the first and most common symptom of thumb arthritis. Pain can occur at the base of your thumb when you grip, grasp or pinch an object, or use your thumb to apply force."
132,Atrial septal defect (ASD),An atrial septal defect (ASD) is a hole in the heart between the upper chambers (atria). The hole increases the amount of blood that flows through the lungs. The condition is present at birth (congenital heart defect).,"Shortness of breath, especially when exercisingFatigueSwelling of legs, feet or belly (abdomen)Irregular heartbeats (arrhythmias)Sensation of a rapid, pounding heartbeat (palpitations) or skipped beatsWhooshing sound that can be heard through a stethoscope (heart murmur)",Many babies born with atrial septal defects have no signs or symptoms. Signs or symptoms can begin in adulthood.
133,Asthma,"If you have asthma, the inside walls of the airways in your lungs can become inflamed and swollen. In addition, membranes in your airway linings may secrete excess mucus. The result is an asthma attack. During an asthma attack, your narrowed airways make it harder to breathe, and you may cough and wheeze.","Shortness of breathChest tightness or painWheezing when exhaling, which is a common sign of asthma in childrenTrouble sleeping caused by shortness of breath, coughing or wheezingCoughing or wheezing attacks that are worsened by a respiratory virus, such as a cold or the flu","Asthma symptoms vary from person to person. You may have infrequent asthma attacks, have symptoms only at certain times — such as when exercising — or have symptoms all the time."
134,Asthma attack,"During an asthma attack, also called an asthma exacerbation, the airways become swollen and inflamed. The muscles around the airways contract and the airways produce extra mucus, causing the breathing (bronchial) tubes to narrow.","Severe shortness of breath, chest tightness or pain, and coughing or wheezingLow peak expiratory flow (PEF) readings, if you use a peak flow meterSymptoms that fail to respond to use of a quick-acting (rescue) inhaler",Asthma attack signs and symptoms include:
135,Occupational asthma,"Asthma is a condition in which your airways narrow and swell and may produce extra mucus. Occupational asthma is a type of asthma. It occurs when you breathe in chemical fumes, gases, dust or other substances on the job. When that happens, it causes an allergic or immunological response.","Wheezing, sometimes just at nightCoughingShortness of breathChest tightness","If you have asthma, the inside walls of the airways in your lungs can become inflamed and swollen. In addition, membranes in your airway linings may secrete excess mucus. The result is an asthma attack. During an asthma attack, your narrowed airways make it harder to breathe, and you may cough and wheeze."
136,Astrocytoma,,,
137,Atrial tachycardia,,,
138,Ataxia,Persistent ataxia usually results from damage to the part of your brain that controls muscle coordination (cerebellum).,"Poor coordinationWalking unsteadily or with the feet set wide apartPoor balanceDifficulty with fine motor tasks, such as eating, writing or buttoning a shirtChange in speechInvoluntary back-and-forth eye movements (nystagmus)Difficulty swallowing",Ataxia can develop over time or come on suddenly. Ataxia is a sign of several neurological disorders and can cause:
139,Atelectasis,Atelectasis (at-uh-LEK-tuh-sis) is a complete or partial collapse of the entire lung or area (lobe) of the lung. It occurs when the tiny air sacs (alveoli) within the lung become deflated or possibly filled with alveolar fluid.,"Difficulty breathingRapid, shallow breathingWheezingCough","There may be no obvious signs or symptoms of atelectasis. If you do have signs and symptoms, they may include:"
140,Arteriosclerosis / atherosclerosis,"Arteriosclerosis and atherosclerosis are sometimes used to mean the same thing, but there's a difference between the two terms.","If you have atherosclerosis in your heart arteries,you may have chest pain or pressure (angina).If you have atherosclerosis in the arteries leading to your brain,you may have sudden numbness or weakness in your arms or legs, difficulty speaking or slurred speech, temporary loss of vision in one eye, or drooping muscles in your face. These signal a transient ischemic attack (TIA). Untreated, aTIAcan lead to a stroke.If you have atherosclerosis in the arteries in your arms and legs,you may have symptoms of peripheral artery disease, such as leg pain when walking (claudication) or decreased blood pressure in an affected limb.If you have atherosclerosis in the arteries leading to your kidneys,you may develop high blood pressure or kidney failure.",Mild atherosclerosis usually doesn't have any symptoms.
141,Athlete's foot,Athlete's foot (tinea pedis) is a fungal skin infection that usually begins between the toes. It commonly occurs in people whose feet have become very sweaty while confined within tight-fitting shoes.,"Scaly, peeling or cracked skin between the toesItchiness, especially right after taking off shoes and socksInflamed skin that might appear reddish, purplish or grayish, depending on your skin colorBurning or stingingBlistersDry, scaly skin on the bottom of the foot that extends up the side","Athlete's foot is a fungal infection that causes scaly rash that may itch, sting or burn."
142,Atopic dermatitis (eczema),"Atopic dermatitis can cause a very itchy rash. Atopic dermatitis most often occurs where the skin flexes — inside the elbows, behind the knees and in front of the neck.","Dry, cracked skinItchiness (pruritus)Rash on swollen skin that varies in color depending on your skin colorSmall, raised bumps, on brown or Black skinOozing and crustingThickened skinDarkening of the skin around the eyesRaw, sensitive skin from scratching","Inflammation caused by atopic dermatitis can cover large areas of the body, such as the chest, or be limited to a few small spots."
143,Atrial fibrillation,"In a typical heart, a tiny group of cells at the sinus node sends out an electrical signal. The signal travels through the heart's upper chambers to the atrioventricular (AV) node. The signal then passes into the lower heart chambers, causing them to squeeze and pump out blood. In atrial fibrillation, electrical signals fire from many locations in the upper chambers, causing them to beat chaotically. Since the AV node doesn't prevent all of these chaotic signals from entering the lower chambers, the heart beats faster and irregularly.","Feelings of a fast, fluttering or pounding heartbeat, called palpitations.Chest pain.Dizziness.Fatigue.Lightheadedness.Reduced ability to exercise.Shortness of breath.Weakness.",Symptoms of AFib may include:
144,Atrial flutter,Atrial flutter is a type of heart rhythm disorder in which the heart's upper chambers (atria) beat too quickly.,,
145,Atrial septal defect (ASD),An atrial septal defect (ASD) is a hole in the heart between the upper chambers (atria). The hole increases the amount of blood that flows through the lungs. The condition is present at birth (congenital heart defect).,"Shortness of breath, especially when exercisingFatigueSwelling of legs, feet or belly (abdomen)Irregular heartbeats (arrhythmias)Sensation of a rapid, pounding heartbeat (palpitations) or skipped beatsWhooshing sound that can be heard through a stethoscope (heart murmur)",Many babies born with atrial septal defects have no signs or symptoms. Signs or symptoms can begin in adulthood.
146,Atrial tachycardia,,,
147,Atrioventricular nodal reentry tachycardia (AVNRT),,,
148,Attention-deficit/hyperactivity disorder (ADHD) in children,"Attention-deficit/hyperactivity disorder (ADHD) is a chronic condition that affects millions of children and often continues into adulthood. ADHD includes a combination of persistent problems, such as difficulty sustaining attention, hyperactivity and impulsive behavior.",Predominantly inattentive.The majority of symptoms fall under inattention.Predominantly hyperactive/impulsive.The majority of symptoms are hyperactive and impulsive.Combined.This is a mix of inattentive symptoms and hyperactive/impulsive symptoms.,"The primary features of ADHD include inattention and hyperactive-impulsive behavior. ADHD symptoms start before age 12, and in some children, they're noticeable as early as 3 years of age. ADHD symptoms can be mild, moderate or severe, and they may continue into adulthood."
149,Adult attention-deficit/hyperactivity disorder (ADHD),"Adult attention-deficit/hyperactivity disorder (ADHD) is a mental health disorder that includes a combination of persistent problems, such as difficulty paying attention, hyperactivity and impulsive behavior. Adult ADHD can lead to unstable relationships, poor work or school performance, low self-esteem, and other problems.",ImpulsivenessDisorganization and problems prioritizingPoor time management skillsProblems focusing on a taskTrouble multitaskingExcessive activity or restlessnessPoor planningLow frustration toleranceFrequent mood swingsProblems following through and completing tasksHot temperTrouble coping with stress,"Some people with ADHD have fewer symptoms as they age, but some adults continue to have major symptoms that interfere with daily functioning. In adults, the main features of ADHD may include difficulty paying attention, impulsiveness and restlessness. Symptoms can range from mild to severe."
150,Atypical hyperplasia of the breast,"Each breast contains 15 to 20 lobes of glandular tissue, arranged like the petals of a daisy. The lobes are further divided into smaller lobules that produce milk for breastfeeding. Small tubes (ducts) conduct the milk to a reservoir that lies just beneath your nipple.",Atypical ductal hyperplasiadescribes abnormal cells within the breast ducts.Atypical lobular hyperplasiadescribes abnormal cells within the breast lobules.,Atypical hyperplasia usually doesn't cause any specific symptoms.
151,Autism spectrum disorder,"Autism spectrum disorder is a condition related to brain development that impacts how a person perceives and socializes with others, causing problems in social interaction and communication. The disorder also includes limited and repetitive patterns of behavior. The term ""spectrum"" in autism spectrum disorder refers to the wide range of symptoms and severity.","Fails to respond to his or her name or appears not to hear you at timesResists cuddling and holding, and seems to prefer playing alone, retreating into his or her own worldHas poor eye contact and lacks facial expressionDoesn't speak or has delayed speech, or loses previous ability to say words or sentencesCan't start a conversation or keep one going, or only starts one to make requests or label itemsSpeaks with an abnormal tone or rhythm and may use a singsong voice or robot-like speechRepeats words or phrases verbatim, but doesn't understand how to use themDoesn't appear to understand simple questions or directionsDoesn't express emotions or feelings and appears unaware of others' feelingsDoesn't point at or bring objects to share interestInappropriately approaches a social interaction by being passive, aggressive or disruptiveHas difficulty recognizing nonverbal cues, such as interpreting other people's facial expressions, body postures or tone of voice","Some children show signs of autism spectrum disorder in early infancy, such as reduced eye contact, lack of response to their name or indifference to caregivers. Other children may develop normally for the first few months or years of life, but then suddenly become withdrawn or aggressive or lose language skills they've already acquired. Signs usually are seen by age 2 years."
